Sucursal,Equipo,Fecha,Temperatura C°,Observaciones,Responsable,email
MUT,MUT004,08-08-2025 11:12:36,8.7,,Paula,huente.mut@gmail.com
MUT,MUT003,08-08-2025 11:12:25,0.4,,Paula,huente.mut@gmail.com
MUT,MUT002,08-08-2025 11:12:11,0.3,,Paula,huente.mut@gmail.com
MUT,MUT001,08-08-2025 11:12:00,0.8,,Paula,huente.mut@gmail.com
Plaza Egaña,EGA004,07-08-2025 21:56:11,3,,Luis,huente.plazaegana@gmail.com
Plaza Egaña,EGA002,07-08-2025 21:55:56,4.8,,Luis,huente.plazaegana@gmail.com
Plaza Egaña,EGA003,07-08-2025 21:55:39,7.6,,Luis,huente.plazaegana@gmail.com
Plaza Egaña,EGA001,07-08-2025 21:55:26,-1,,Luis,huente.plazaegana@gmail.com
Costanera,COS004,07-08-2025 21:14:00,3.4,,Nino,huentecostanera@gmail.com
Costanera,COS002,07-08-2025 21:08:00,4.2,,Nino,huentecostanera@gmail.com
Costanera,COS003,07-08-2025 21:08:00,21.8,,Nino,huentecostanera@gmail.com
Costanera,COS001,07-08-2025 21:07:00,6.5,,Nino,huentecostanera@gmail.com
MUT,MUT004,07-08-2025 19:59:44,15.8,,Paula,huente.mut@gmail.com
MUT,MUT003,07-08-2025 19:59:27,0.2,,Paula,huente.mut@gmail.com
MUT,MUT002,07-08-2025 19:59:11,0.5,,Paula,huente.mut@gmail.com
MUT,MUT001,07-08-2025 19:58:43,1,,Paula,huente.mut@gmail.com
Esc. Militar,EM005,07-08-2025 19:34:19,1.1,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM004,07-08-2025 19:27:35,7,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM002,07-08-2025 19:24:17,2.4,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM003,07-08-2025 19:22:34,16.5,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM001,07-08-2025 19:20:36,12.5,,Alejandra,huente.escuelamilitar@gmail.com
Plaza Egaña,EGA004,07-08-2025 17:36:38,2.6,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA003,07-08-2025 17:36:15,9,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA002,07-08-2025 17:35:51,6.5,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA001,07-08-2025 17:35:34,0.2,,David,huente.plazaegana@gmail.com
Costanera,COS004,07-08-2025 17:14:00,3.4,,Nino,huentecostanera@gmail.com
Costanera,COS001,07-08-2025 17:13:00,7.6,,Nino,huentecostanera@gmail.com
Costanera,COS003,07-08-2025 17:13:00,-22,,Nino,huentecostanera@gmail.com
Costanera,COS002,07-08-2025 17:10:00,4.5,,Nino,huentecostanera@gmail.com
Esc. Militar,EM005,07-08-2025 16:39:13,0.1,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM004,07-08-2025 16:35:10,8.6,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM002,07-08-2025 16:30:47,1.8,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM003,07-08-2025 16:29:48,17.4,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM001,07-08-2025 16:29:17,13.4,,Alejandra,huente.escuelamilitar@gmail.com
MUT,MUT004,07-08-2025 16:07:11,9.7,,Paula,huente.mut@gmail.com
MUT,MUT003,07-08-2025 16:06:06,0.4,,Paula,huente.mut@gmail.com
MUT,MUT002,07-08-2025 16:05:50,0.8,,Paula,huente.mut@gmail.com
MUT,MUT001,07-08-2025 16:05:36,0.9,,Paula,huente.mut@gmail.com
Plaza Egaña,EGA003,07-08-2025 14:50:13,11.3,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA002,07-08-2025 13:50:00,5.2,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA004,07-08-2025 12:51:00,2.3,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA001,07-08-2025 12:49:00,0.8,,David,huente.plazaegana@gmail.com
Costanera,COS004,07-08-2025 12:23:00,3.5,,Nino,huentecostanera@gmail.com
Costanera,COS001,07-08-2025 12:22:00,6,,Nino,huentecostanera@gmail.com
Costanera,COS002,07-08-2025 12:22:00,4.3,,Nino,huentecostanera@gmail.com
Costanera,COS003,07-08-2025 12:22:00,-21.5,,Nino,huentecostanera@gmail.com
Esc. Militar,EM005,07-08-2025 12:02:23,3.5,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM004,07-08-2025 12:00:27,7.5,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM002,07-08-2025 11:55:59,2.5,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM003,07-08-2025 11:54:02,16.5,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM001,07-08-2025 11:52:15,9.2,,Alejandra,huente.escuelamilitar@gmail.com
MUT,MUT004,07-08-2025 11:04:44,16.6,,Paula,huente.mut@gmail.com
MUT,MUT003,07-08-2025 11:04:35,0.2,,Paula,huente.mut@gmail.com
MUT,MUT002,07-08-2025 11:04:23,0.6,,Paula,huente.mut@gmail.com
MUT,MUT001,07-08-2025 11:04:13,0.8,,Paula,huente.mut@gmail.com
Plaza Egaña,EGA004,06-08-2025 21:40:09,2.3,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA003,06-08-2025 21:39:54,10,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA002,06-08-2025 21:39:41,5.1,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA001,06-08-2025 21:39:27,0.1,,David,huente.plazaegana@gmail.com
Costanera,COS001,06-08-2025 21:24:00,6,,Nino,huentecostanera@gmail.com
Costanera,COS003,06-08-2025 21:21:00,-21.4,,Nino,huentecostanera@gmail.com
Costanera,COS004,06-08-2025 21:21:00,4.1,,Nino,huentecostanera@gmail.com
Costanera,COS002,06-08-2025 21:20:00,4.2,,Nino,huentecostanera@gmail.com
MUT,MUT004,06-08-2025 20:16:07,17.7,,Paula,huente.mut@gmail.com
MUT,MUT003,06-08-2025 20:15:44,0.1,,Paula,huente.mut@gmail.com
MUT,MUT002,06-08-2025 20:15:32,0.8,,Paula,huente.mut@gmail.com
MUT,MUT001,06-08-2025 20:15:19,0.6,,Paula,huente.mut@gmail.com
Esc. Militar,EM005,06-08-2025 19:09:00,4.4,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM004,06-08-2025 19:07:16,10.1,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM003,06-08-2025 19:06:23,16.6,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM001,06-08-2025 19:04:00,12,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM002,06-08-2025 19:00:00,6.8,,Alejandra,huente.escuelamilitar@gmail.com
Plaza Egaña,EGA004,06-08-2025 17:50:38,2.4,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA003,06-08-2025 17:50:15,9.6,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA002,06-08-2025 17:49:46,6.1,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA001,06-08-2025 17:49:33,0.4,,David,huente.plazaegana@gmail.com
Costanera,COS002,06-08-2025 17:25:00,4.5,,Nino,huentecostanera@gmail.com
Costanera,COS004,06-08-2025 17:21:00,4.5,,Nino,huentecostanera@gmail.com
Costanera,COS003,06-08-2025 17:20:00,-21.5,,Nino,huentecostanera@gmail.com
MUT,MUT004,06-08-2025 17:16:46,17.3,,Paula,huente.mut@gmail.com
MUT,MUT003,06-08-2025 17:16:22,0.4,,Paula,huente.mut@gmail.com
MUT,MUT002,06-08-2025 17:16:09,0.4,,Paula,huente.mut@gmail.com
MUT,MUT001,06-08-2025 17:15:59,0.7,,Paula,huente.mut@gmail.com
Costanera,COS001,06-08-2025 17:08:00,5.8,,Nino,huentecostanera@gmail.com
Esc. Militar,EM005,06-08-2025 16:24:00,1.4,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM004,06-08-2025 16:18:00,6.7,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM002,06-08-2025 16:15:00,2.3,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM003,06-08-2025 16:12:00,18.2,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM001,06-08-2025 16:10:00,10.8,,Alejandra,huente.escuelamilitar@gmail.com
Plaza Egaña,EGA004,06-08-2025 13:08:23,1.6,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA003,06-08-2025 13:07:56,9.4,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA002,06-08-2025 13:07:25,6,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA001,06-08-2025 13:07:06,0.6,,David,huente.plazaegana@gmail.com
Costanera,COS004,06-08-2025 13:01:00,4.1,,Nino,huentecostanera@gmail.com
Costanera,COS001,06-08-2025 13:00:00,5.2,,Nino,huentecostanera@gmail.com
Costanera,COS002,06-08-2025 13:00:00,4.2,,Nino,huentecostanera@gmail.com
Costanera,COS003,06-08-2025 13:00:00,-22,,Nino,huentecostanera@gmail.com
Esc. Militar,EM005,06-08-2025 12:40:00,5.4,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM004,06-08-2025 12:31:00,8.8,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM002,06-08-2025 12:30:00,-2.7,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM003,06-08-2025 12:25:00,18.1,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM001,06-08-2025 12:22:00,11.9,,Alejandra,huente.escuelamilitar@gmail.com
MUT,MUT004,06-08-2025 11:15:44,15.2,,Paula,huente.mut@gmail.com
MUT,MUT003,06-08-2025 11:15:21,0.2,,Paula,huente.mut@gmail.com
MUT,MUT002,06-08-2025 11:15:07,0.3,,Paula,huente.mut@gmail.com
MUT,MUT001,06-08-2025 11:14:56,1,,Paula,huente.mut@gmail.com
Plaza Egaña,EGA004,05-08-2025 21:30:31,2.8,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA003,05-08-2025 21:30:17,10.5,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA002,05-08-2025 21:30:04,5,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA001,05-08-2025 21:29:49,2.6,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA001,05-08-2025 21:29:31,2.6,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA002,05-08-2025 21:18:00,4.6,,DAVID,huente.plazaegana@gmail.com
Costanera,COS001,05-08-2025 21:04:00,6.4,,Nino,huentecostanera@gmail.com
Costanera,COS004,05-08-2025 21:01:00,3.5,,Nino,huentecostanera@gmail.com
Costanera,COS002,05-08-2025 21:00:00,4.7,,Nino,huentecostanera@gmail.com
Costanera,COS003,05-08-2025 21:00:00,-22,,Nino,huentecostanera@gmail.com
MUT,MUT004,05-08-2025 20:18:46,17.7,,Paula,huente.mut@gmail.com
MUT,MUT003,05-08-2025 20:18:32,0.4,,Paula,huente.mut@gmail.com
MUT,MUT002,05-08-2025 20:18:14,0.3,,Paula,huente.mut@gmail.com
MUT,MUT001,05-08-2025 20:18:01,0.7,,Paula,huente.mut@gmail.com
Esc. Militar,EM005,05-08-2025 19:15:00,7,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM004,05-08-2025 19:13:00,7.7,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM002,05-08-2025 19:10:00,11.6,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM003,05-08-2025 19:08:00,17.9,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM001,05-08-2025 19:03:00,12.6,,Alejandra,huente.escuelamilitar@gmail.com
Plaza Egaña,EGA004,05-08-2025 17:23:27,2.8,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA003,05-08-2025 17:23:07,7.6,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA002,05-08-2025 17:22:53,6,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA001,05-08-2025 17:22:35,0.4,,David,huente.plazaegana@gmail.com
Costanera,COS001,05-08-2025 17:01:00,5.3,,Nino,huentecostanera@gmail.com
Costanera,COS002,05-08-2025 17:01:00,4.9,,Nino,huentecostanera@gmail.com
Costanera,COS003,05-08-2025 17:00:00,-21.5,,Nino,huentecostanera@gmail.com
Costanera,COS004,05-08-2025 17:00:00,4.5,,Nino,huentecostanera@gmail.com
Esc. Militar,EM005,05-08-2025 16:51:00,9.1,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM004,05-08-2025 16:49:00,5.2,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM002,05-08-2025 16:47:00,9.9,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM003,05-08-2025 16:43:00,17.6,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM001,05-08-2025 16:40:00,12.8,,Alejandra,huente.escuelamilitar@gmail.com
MUT,MUT004,05-08-2025 16:21:40,16.5,,Paula,huente.mut@gmail.com
MUT,MUT003,05-08-2025 16:21:29,0.1,,Paula,huente.mut@gmail.com
MUT,MUT002,05-08-2025 16:21:17,0.3,,Paula,huente.mut@gmail.com
MUT,MUT001,05-08-2025 16:21:06,0.7,,Paula,huente.mut@gmail.com
Plaza Egaña,EGA004,05-08-2025 12:57:50,2.9,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA003,05-08-2025 12:55:00,7,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA001,05-08-2025 12:54:32,6.3,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA001,05-08-2025 12:52:40,0.8,,David,huente.plazaegana@gmail.com
Costanera,COS002,05-08-2025 12:34:00,3.8,,Nino,huentecostanera@gmail.com
Costanera,COS003,05-08-2025 12:32:00,-22,,Nino,huentecostanera@gmail.com
Costanera,COS001,05-08-2025 12:23:00,6.8,,Nino,huentecostanera@gmail.com
Esc. Militar,EM005,05-08-2025 12:20:00,0.8,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM004,05-08-2025 12:18:00,6.9,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM002,05-08-2025 12:15:00,13.2,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM003,05-08-2025 12:11:00,18.1,,Alejandra,huente.escuelamilitar@gmail.com
Costanera,COS004,05-08-2025 12:02:00,3.2,,Nino,huentecostanera@gmail.com
Esc. Militar,EM001,05-08-2025 12:00:00,9.6,,Alejandra,huente.escuelamilitar@gmail.com
MUT,MUT004,05-08-2025 11:03:11,14.7,,Paula,huente.mut@gmail.com
MUT,MUT003,05-08-2025 11:02:53,0.2,,Paula,huente.mut@gmail.com
MUT,MUT002,05-08-2025 11:02:42,0.4,,Paula,huente.mut@gmail.com
MUT,MUT001,05-08-2025 11:02:32,1,,Paula,huente.mut@gmail.com
Plaza Egaña,EGA004,04-08-2025 21:22:18,3.2,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA003,04-08-2025 21:22:01,10.5,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA002,04-08-2025 21:21:42,6,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA001,04-08-2025 21:21:30,0.3,,David,huente.plazaegana@gmail.com
Costanera,COS001,04-08-2025 21:05:00,6.2,,Nino,huentecostanera@gmail.com
Costanera,COS004,04-08-2025 21:05:00,3.5,,Nino,huentecostanera@gmail.com
Costanera,COS002,04-08-2025 21:01:00,4,,Nino,huentecostanera@gmail.com
Costanera,COS003,04-08-2025 21:01:00,-21.9,,Nino,huentecostanera@gmail.com
MUT,MUT004,04-08-2025 20:05:11,13.8,,Paula,huente.mut@gmail.com
MUT,MUT003,04-08-2025 20:04:25,0.1,,Paula,huente.mut@gmail.com
MUT,MUT002,04-08-2025 20:04:12,0.3,,Paula,huente.mut@gmail.com
MUT,MUT001,04-08-2025 20:04:01,0.8,,Paula,huente.mut@gmail.com
Esc. Militar,EM004,04-08-2025 19:03:00,8.9,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM002,04-08-2025 19:02:00,9.3,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM003,04-08-2025 19:01:00,15.8,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM005,04-08-2025 19:00:00,2,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM001,04-08-2025 19:00:00,12.8,,Alejandra,huente.escuelamilitar@gmail.com
Costanera,COS001,04-08-2025 17:14:00,5.6,,Nino,huentecostanera@gmail.com
Costanera,COS003,04-08-2025 17:11:00,-21.5,,Nino,huentecostanera@gmail.com
Costanera,COS004,04-08-2025 17:05:00,4.2,,Nino,huentecostanera@gmail.com
Costanera,COS002,04-08-2025 17:04:00,5.7,,Nino,huentecostanera@gmail.com
Plaza Egaña,EGA004,04-08-2025 17:01:21,1.4,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA003,04-08-2025 17:01:06,8,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA002,04-08-2025 17:00:53,4.9,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA001,04-08-2025 17:00:41,0,,David,huente.plazaegana@gmail.com
MUT,MUT004,04-08-2025 16:18:17,15.6,,Paula,huente.mut@gmail.com
MUT,MUT003,04-08-2025 16:17:59,0.1,,Paula,huente.mut@gmail.com
MUT,MUT002,04-08-2025 16:17:46,0.5,,Paula,huente.mut@gmail.com
MUT,MUT001,04-08-2025 16:17:32,0.8,,Paula,huente.mut@gmail.com
Esc. Militar,EM003,04-08-2025 16:05:00,14.6,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM001,04-08-2025 16:04:00,10.2,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM004,04-08-2025 16:02:00,8.5,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM002,04-08-2025 16:01:00,9.5,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM005,04-08-2025 16:00:00,2.5,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM003,04-08-2025 13:16:00,14.3,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM001,04-08-2025 13:15:00,10.1,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM004,04-08-2025 13:12:00,8.3,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM002,04-08-2025 13:10:00,9.3,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM005,04-08-2025 13:00:00,2.1,,Alejandra,huente.escuelamilitar@gmail.com
Plaza Egaña,EGA004,04-08-2025 12:43:21,1.1,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA003,04-08-2025 12:42:57,10.2,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA002,04-08-2025 12:42:40,4.8,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA001,04-08-2025 12:42:29,0.4,,David,huente.plazaegana@gmail.com
Costanera,COS001,04-08-2025 12:19:00,7.7,,Nino,huentecostanera@gmail.com
Costanera,COS004,04-08-2025 12:15:00,4.5,,Nino,huentecostanera@gmail.com
Costanera,COS002,04-08-2025 12:11:00,4.5,,Nino,huentecostanera@gmail.com
Costanera,COS003,04-08-2025 12:11:00,-22,,Nino,huentecostanera@gmail.com
MUT,MUT004,04-08-2025 11:17:15,15.7,,Paula,huente.mut@gmail.com
MUT,MUT003,04-08-2025 11:17:04,0.3,,Paula,huente.mut@gmail.com
MUT,MUT002,04-08-2025 11:16:51,0.6,,Paula,huente.mut@gmail.com
MUT,MUT001,04-08-2025 11:16:37,1,,Paula,huente.mut@gmail.com
Plaza Egaña,EGA003,03-08-2025 21:19:00,7.1,,DAVID,huente.plazaegana@gmail.com
Plaza Egaña,EGA004,03-08-2025 21:17:00,1.3,,DAVID,huente.plazaegana@gmail.com
Plaza Egaña,EGA002,03-08-2025 21:11:00,4.6,,DAVID,huente.plazaegana@gmail.com
Plaza Egaña,EGA001,03-08-2025 21:08:00,0.4,,DAVID,huente.plazaegana@gmail.com
Costanera,COS004,03-08-2025 20:01:47,4.9,,Matias,huentecostanera@gmail.com
Costanera,COS003,03-08-2025 20:01:08,-22.6,,Matias,huentecostanera@gmail.com
Costanera,COS002,03-08-2025 20:00:55,0.5,,Matias,huentecostanera@gmail.com
Costanera,COS001,03-08-2025 20:00:44,8.8,,Matias,huentecostanera@gmail.com
MUT,MUT004,03-08-2025 19:30:49,10.02,,Nicole,huente.mut@gmail.com
MUT,MUT003,03-08-2025 19:30:32,0.06,,Nicole,huente.mut@gmail.com
MUT,MUT002,03-08-2025 19:30:20,0.03,,Nicolr,huente.mut@gmail.com
MUT,MUT001,03-08-2025 19:30:04,0.07,,Nicole,huente.mut@gmail.com
MUT,MUT004,03-08-2025 19:28:51,10,,Nicole,huente.mut@gmail.com
MUT,MUT003,03-08-2025 19:28:39,0.06,,Nicole,huente.mut@gmail.com
MUT,MUT002,03-08-2025 19:28:25,0.09,,Nicole,huente.mut@gmail.com
MUT,MUT001,03-08-2025 19:28:11,0.04,,Nicolr,huente.mut@gmail.com
Esc. Militar,EM001,03-08-2025 19:08:10,6.4,,Almendra,huente.escuelamilitar@gmail.com
Esc. Militar,EM003,03-08-2025 19:07:07,12,,Almendra,huente.escuelamilitar@gmail.com
Esc. Militar,EM004,03-08-2025 19:06:57,6.9,,Almendra,huente.escuelamilitar@gmail.com
Plaza Egaña,EGA001,03-08-2025 17:48:00,-0.8,,Patricio Monroy,huente.plazaegana@gmail.com
Plaza Egaña,EGA003,03-08-2025 17:15:00,7.4,,DAVID,huente.plazaegana@gmail.com
Plaza Egaña,EGA004,03-08-2025 17:07:00,1.1,,DAVID,huente.plazaegana@gmail.com
Plaza Egaña,EGA002,03-08-2025 17:06:00,5.1,,DAVID,huente.plazaegana@gmail.com
Costanera,COS001,03-08-2025 17:00:00,8.4,,Matias,huentecostanera@gmail.com
Costanera,COS002,03-08-2025 17:00:00,0.8,,Matias,huentecostanera@gmail.com
Costanera,COS003,03-08-2025 17:00:00,-22.3,,Matias,huentecostanera@gmail.com
Costanera,COS004,03-08-2025 17:00:00,4.4,,Matias,huentecostanera@gmail.com
MUT,MUT001,03-08-2025 16:28:00,0.04,,Nicolr,huente.mut@gmail.com
MUT,MUT002,03-08-2025 16:28:00,0.09,,Nicole,huente.mut@gmail.com
MUT,MUT003,03-08-2025 16:28:00,0.06,,Nicole,huente.mut@gmail.com
MUT,MUT004,03-08-2025 16:28:00,10,,Nicole,huente.mut@gmail.com
Costanera,COS002,03-08-2025 12:30:00,-0.4,,Matias,huentecostanera@gmail.com
Costanera,COS004,03-08-2025 12:21:37,4.3,,Matias,huentecostanera@gmail.com
Costanera,COS003,03-08-2025 12:21:14,-21.4,,Matias,huentecostanera@gmail.com
Costanera,COS001,03-08-2025 12:20:57,8.2,,Matias,huentecostanera@gmail.com
Esc. Militar,EM005,03-08-2025 11:53:51,4.9,,Almendra,huente.escuelamilitar@gmail.com
Esc. Militar,EM004,03-08-2025 11:53:40,7.8,,Almendra,huente.escuelamilitar@gmail.com
Esc. Militar,EM003,03-08-2025 11:43:21,11,Vitrina,Almendra,huente.escuelamilitar@gmail.com
Esc. Militar,EM001,03-08-2025 11:27:35,3.9,,Almendra,huente.escuelamilitar@gmail.com
Esc. Militar,EM002,03-08-2025 11:27:16,12.7,,Almendra,huente.escuelamilitar@gmail.com
Plaza Egaña,EGA004,03-08-2025 11:18:43,0.5,,Patricio Monroy,huente.plazaegana@gmail.com
Plaza Egaña,EGA003,03-08-2025 11:17:32,6.5,,Patricio Monroy,huente.plazaegana@gmail.com
Plaza Egaña,EGA002,03-08-2025 11:16:51,5.1,,Patricio Monroy,huente.plazaegana@gmail.com
Plaza Egaña,EGA001,03-08-2025 11:16:11,0.4,,Patricio Monroy,huente.plazaegana@gmail.com
MUT,MUT004,03-08-2025 11:11:04,10.05,,Nicole,huente.mut@gmail.com
MUT,MUT002,03-08-2025 11:10:43,0.02,,Nicole,huente.mut@gmail.com
MUT,MUT001,03-08-2025 11:10:19,10,,Nicole,huente.mut@gmail.com
MUT,MUT003,03-08-2025 11:09:46,0.04,,Nicole,huente.mut@gmail.com
Costanera,COS002,02-08-2025 21:15:51,0.5,,Matias,huentecostanera@gmail.com
Plaza Egaña,EGA003,02-08-2025 21:15:00,6.9,,DAVID,huente.plazaegana@gmail.com
Plaza Egaña,EGA004,02-08-2025 21:15:00,1.6,,DAVID,huente.plazaegana@gmail.com
Plaza Egaña,EGA002,02-08-2025 21:10:00,4.1,,DAVID,huente.plazaegana@gmail.com
Costanera,COS004,02-08-2025 21:06:32,3.7,,Matias,huentecostanera@gmail.com
Costanera,COS003,02-08-2025 21:06:14,-21.1,,Matias,huentecostanera@gmail.com
Costanera,COS001,02-08-2025 21:06:01,8.6,,Matias,huentecostanera@gmail.com
Plaza Egaña,EGA001,02-08-2025 21:00:00,0.6,,DAVID,huente.plazaegana@gmail.com
MUT,MUT004,02-08-2025 20:32:43,17.06,,Nicole,huente.mut@gmail.com
MUT,MUT002,02-08-2025 20:32:27,0.04,,Nicole,huente.mut@gmail.com
MUT,MUT001,02-08-2025 20:30:41,0.09,,Nicole,huente.mut@gmail.com
MUT,MUT003,02-08-2025 20:30:09,0.05,,Nicole,huente.mut@gmail.com
MUT,MUT004,02-08-2025 17:50:24,10.01,,Nicole,huente.mut@gmail.com
MUT,MUT003,02-08-2025 17:50:08,0.06,,Nicole,huente.mut@gmail.com
MUT,MUT002,02-08-2025 17:49:54,0.05,,Nicole,huente.mut@gmail.com
MUT,MUT001,02-08-2025 17:49:42,0.06,,Nicole,huente.mut@gmail.com
Plaza Egaña,EGA003,02-08-2025 17:13:00,6.8,,DAVID,huente.plazaegana@gmail.com
Plaza Egaña,EGA004,02-08-2025 17:06:00,1.2,,DAVID,huente.plazaegana@gmail.com
Plaza Egaña,EGA002,02-08-2025 17:05:00,4.6,,DAVID,huente.plazaegana@gmail.com
Plaza Egaña,EGA001,02-08-2025 17:03:00,0.8,,DAVID,huente.plazaegana@gmail.com
Costanera,COS004,02-08-2025 16:55:33,3.7,,Matias,huentecostanera@gmail.com
Costanera,COS003,02-08-2025 16:55:08,-22.7,,Matias,huentecostanera@gmail.com
Costanera,COS001,02-08-2025 16:54:19,7.8,,Matias,huentecostanera@gmail.com
Costanera,COS002,02-08-2025 16:54:03,0.4,,Matias,huentecostanera@gmail.com
Plaza Egaña,EGA001,02-08-2025 12:24:00,0.6,,DAVID,huente.plazaegana@gmail.com
Plaza Egaña,EGA003,02-08-2025 12:15:00,7.1,,DAVID,huente.plazaegana@gmail.com
Plaza Egaña,EGA004,02-08-2025 12:15:00,1.8,,DAVID,huente.plazaegana@gmail.com
Costanera,COS002,02-08-2025 12:07:04,2.6,,Matias,huentecostanera@gmail.com
Plaza Egaña,EGA002,02-08-2025 12:06:00,4.9,,DAVID,huente.plazaegana@gmail.com
Costanera,COS004,02-08-2025 12:01:29,5.1,,Matias,huentecostanera@gmail.com
Costanera,COS003,02-08-2025 12:01:07,-22.3,,Matias,huentecostanera@gmail.com
Costanera,COS001,02-08-2025 12:00:50,7.9,,Matias,huentecostanera@gmail.com
MUT,MUT004,02-08-2025 11:33:27,8.06,,Nicole,huente.mut@gmail.com
MUT,MUT003,02-08-2025 11:33:10,0.02,,Nicole,huente.mut@gmail.com
MUT,MUT002,02-08-2025 11:32:53,0.02,,Nicole,huente.mut@gmail.com
MUT,MUT001,02-08-2025 11:32:24,0.06,,Nicole,huente.mut@gmail.com
